1775826827,25.315100,23.886473,485
1775826834,25.264362,24.904249,461
1775826841,25.178911,24.821852,448
1775826848,25.128176,24.682993,437
1775826855,25.080111,24.565500,432
1775826862,25.042725,24.486153,417
1775826869,25.021362,24.461739,398
1775826876,24.978638,24.519722,396
1775826883,25.010681,24.597544,389
1775826890,24.959946,24.621958,387
1775826897,24.983978,24.650949,384
1775826904,24.975967,24.670786,382
1775826911,24.997330,24.686045,375
1775826918,24.981308,24.715038,373
1775826925,25.005341,24.718090,362
1775826932,24.991989,24.779125,361
1775826939,25.018692,24.666208,354
1775826946,24.997330,24.615854,351
1775826953,25.021362,24.592966,348
1775826960,25.013351,24.664682,347
1775826967,25.080111,24.609751,345
1775826974,25.074770,24.615854,343
1775826981,25.088121,24.580759,335
1775826988,25.101473,24.597544,334
1775826995,25.120165,24.452583,331
1775827002,25.106813,24.478523,329
1775827009,25.138857,24.547188,325
1775827016,25.152208,24.478523,323
1775827023,25.168230,24.414434,321
1775827030,25.168230,24.370184,319
1775827037,25.218967,24.338140,316
1775827044,25.210957,24.306095,315
1775827051,25.216297,24.289310,317
1775827058,25.168230,24.216068,324
1775827065,25.173571,24.217594,330
1775827072,25.136187,24.162661,345
1775827079,25.130846,24.144350,350
1775827086,25.149538,24.127565,359
1775827093,25.173571,24.165712,361
1775827100,25.229649,24.083315,363
1775827107,25.224308,24.115358,364
1775827114,25.272373,24.043640,366
1775827121,25.320440,24.083315,368
1775827128,25.333792,24.023804,372
1775827135,25.371176,24.077211,374
1775827142,25.397879,23.990234,378
1775827149,25.413900,23.961243,380
1775827156,25.421911,24.036011,379
1775827163,25.445946,24.013123,380
1775827170,25.467308,23.993286,383
1775827177,25.480659,23.941406,383
1775829808,23.392462,20.303654,377
1775829815,23.408484,20.550850,431
1775829822,23.232243,21.089495,488
1775829829,23.146791,21.309223,500
1775829836,23.005264,21.673914,509
1775829843,22.949188,21.884489,509
1775829850,22.887770,22.052338,509
